freq_hz,s11_db,rin,xin
2200000000.0,-0.0874457253427689,56.34352015423097,-744.3107065828804
2205000000.0,-0.09122914307863146,56.34352015423097,-728.5530175498478
2210000000.0,-0.0952521614184889,56.34352015423097,-712.8347617702706
2215000000.0,-0.09953516353805322,56.34352015423097,-697.1556722018009
2220000000.0,-0.10410072886824322,56.34352015423097,-681.5154842078773
2225000000.0,-0.10897392139015835,56.34352015423097,-665.9139355306934
2230000000.0,-0.114182622792861,56.34352015423097,-650.3507662645316
2235000000.0,-0.11975791860519494,56.34352015423097,-634.8257188294517
2240000000.0,-0.12573454709047907,56.34352015423097,-619.3385379453358
2245000000.0,-0.13215142276286693,56.34352015423097,-603.8889706062744
2250000000.0,-0.139052248948658,56.34352015423097,-588.4767660553009
2255000000.0,-0.1464862370074618,56.34352015423097,-573.1016757594572
2260000000.0,-0.15450895381826588,56.34352015423097,-557.7634533851916
2265000000.0,-0.16318332414809827,56.34352015423097,-542.4618547740819
2270000000.0,-0.17258082084896714,56.34352015423097,-527.1966379188834
2275000000.0,-0.1827828838594468,56.34352015423097,-511.96756293988693
2280000000.0,-0.1938826192328849,56.34352015423097,-496.77439206159113
2285000000.0,-0.20598684255990052,56.34352015423097,-481.61688958968074
2290000000.0,-0.21921854811778702,56.34352015423097,-466.4948218883052
2295000000.0,-0.23371990710720356,56.34352015423097,-451.40795735765784
2300000000.0,-0.2496559271199612,56.34352015423097,-436.3560664118432
2305000000.0,-0.267218942842789,56.34352015423097,-421.33892145703265
2310000000.0,-0.286634158148381,56.34352015423097,-406.3562968699081
2315000000.0,-0.3081665266239341,56.34352015423097,-391.40796897638154
2320000000.0,-0.33212934750849377,56.34352015423097,-376.4937160305888
2325000000.0,-0.35889507582838126,56.34352015423097,-361.61331819415676
2330000000.0,-0.38890901190476035,56.34352015423097,-346.766557515739
2335000000.0,-0.4227067646097554,56.34352015423097,-331.95321791080755
2340000000.0,-0.4609367013015965,56.34352015423097,-317.17308514171276
2345000000.0,-0.5043890442221417,56.34352015423097,-302.4259467979893
2350000000.0,-0.5540339060235497,56.34352015423097,-287.7115922769245
2355000000.0,-0.6110714624592619,56.34352015423097,-273.02981276435867
2360000000.0,-0.6769987689615684,56.34352015423097,-258.3804012157474
2365000000.0,-0.7536996400116482,56.34352015423097,-243.76315233745095
2370000000.0,-0.843566835710823,56.34352015423097,-229.17786256826432
2375000000.0,-0.9496700242943966,56.34352015423097,-214.62433006118292
2380000000.0,-1.07598938394833,56.34352015423097,-200.1023546653935
2385000000.0,-1.2277445183556137,56.34352015423097,-185.6117379085001
2390000000.0,-1.411863643762272,56.34352015423097,-171.15228297896073
2395000000.0,-1.637662252894041,56.34352015423097,-156.72379470875498
2400000000.0,-1.917839861252143,56.34352015423097,-142.32607955626034
2405000000.0,-2.269969668903543,56.34352015423097,-127.95894558935127
2410000000.0,-2.7187730629057425,56.34352015423097,-113.62220246869785
2415000000.0,-3.299694092342903,56.34352015423097,-99.31566143128036
2420000000.0,-4.064761704289291,56.34352015423097,-85.0391352741031
2425000000.0,-5.092868502162846,56.34352015423097,-70.79243833811228
2430000000.0,-6.509780028605798,56.34352015423097,-56.57538649231405
2435000000.0,-8.53358193994544,56.34352015423097,-42.38779711808251
2440000000.0,-11.60194902807275,56.34352015423097,-28.229489093666945
2445000000.0,-16.824871951046095,56.34352015423097,-14.100282778883766
2450000000.0,-24.48761416191971,56.34352015423097,0.0
2455000000.0,-16.839303743371616,56.34352015423097,14.071535965198919
2460000000.0,-11.633366255957714,56.34352015423097,28.114500402162054
2465000000.0,-8.578337728896319,56.34352015423097,42.129067174145014
2470000000.0,-6.564257744493011,56.34352015423097,56.115408736602724
2475000000.0,-5.15376623814869,56.34352015423097,70.07369615141049
2480000000.0,-4.12935445114701,56.34352015423097,84.00409910091463
2485000000.0,-3.3659087810454964,56.34352015423097,97.90678590180605
2490000000.0,-2.78513008617646,56.34352015423097,111.78192351883558
2495000000.0,-2.335468534547424,56.34352015423097,125.62967757835925
2500000000.0,-1.981839378945478,56.34352015423097,139.4502123817218
2505000000.0,-1.6997779495398668,56.34352015423097,153.24369091848124
2510000000.0,-1.4718882930193118,56.34352015423097,167.01027487947366
2515000000.0,-1.2855899904036596,56.34352015423097,180.75012466972387
2520000000.0,-1.131645555535998,56.34352015423097,194.46339942119965
2525000000.0,-1.0031763934342712,56.34352015423097,208.15025700541995
2530000000.0,-0.8949932218248009,56.34352015423097,221.81085404590527
2535000000.0,-0.8031332273056662,56.34352015423097,235.4453459304881
2540000000.0,-0.7245355140944499,56.34352015423097,249.05388682347584
2545000000.0,-0.6568104771716652,56.34352015423097,262.6366296776666
2550000000.0,-0.5980738546796267,56.34352015423097,276.1937262462303
2555000000.0,-0.5468258988423184,56.34352015423097,289.72532709444494
2560000000.0,-0.5018624061581236,56.34352015423097,303.2315816112961
2565000000.0,-0.46220850603036545,56.34352015423097,316.71263802094387
2570000000.0,-0.42706888682154687,56.34352015423097,330.1686433940534
2575000000.0,-0.3957900192094244,56.34352015423097,343.59974365899325
2580000000.0,-0.3678312241030852,56.34352015423097,357.00608361290324
2585000000.0,-0.34274232327097154,56.34352015423097,370.387806932637
2590000000.0,-0.3201462338857116,56.34352015423097,383.74505618557316
2595000000.0,-0.2997253083586355,56.34352015423097,397.0779728403065
2600000000.0,-0.2812105348370704,56.34352015423097,410.38669727721145
2605000000.0,-0.264372939830636,56.34352015423097,423.67136879888534
2610000000.0,-0.24901669869008017,56.34352015423097,436.93212564047263
